CAREER,INTEREST AREAS,REQUIRED SKILLS,DEGREES,CERTIFICATIONS,TOOLS/TECHNOLOGIES,PROJECT EXAMPLES,ENTRY LEVEL JOB TITLE,HIGHER OPPORTUNITIES,TOP COMPANIES,LEARNING RESOURCES,ROADMAP,FIELD
Patent Attorney (Helps clients get legal rights for inventions),"patent, attorney, law, intellectual property, research, legal, invention, contracts, communication, writing, advocacy, business, technology, patent law, analysis","Patent law, IP management, technical writing",Law Degree + Patent Bar Exam,Registered Patent Attorney,"Patent databases, legal research software","Patent Application Draft, Case Study","Patent Clerk, Junior Attorney","Senior Patent Attorney, IP Manager","IP Firms, Corporates, Govt Patent Offices","AIPLA Resources, Coursera Intellectual Property",Law Degree + Patent Law Training --> Internship --> Patent Attorney --> Senior Attorney --> Partner,Legal & Court
Pathologist (Studies diseases by examining tissues and samples),"pathologist, medicine, diagnosis, laboratory, biology, anatomy, disease, health science, research, clinical, patient care, testing, pathology, medical science, health","Disease diagnosis, pathology techniques, lab management",Medical Degree (MBBS) + MD Pathology,Pathologist License,"Microscopes, lab analyzers, LIS software","Biopsy Report, Diagnostic Case Study","Pathology Intern, Lab Assistant","Senior Pathologist, Dept Head","Hospitals, Labs, Research Institutes","ASHI Resources, Coursera Pathology",Medical Degree + Pathology Specialization --> Internship --> Pathologist --> Senior Pathologist --> Consultant,Healthcare
Pediatrician (Provides medical care for children),"pediatrician, child, medicine, health, anatomy, biology, diagnosis, treatment, clinical, patient care, health science, immunization, development, biology, nursing","Pediatrics, child healthcare, diagnostics",Medical Degree (MBBS) + MD Pediatrics,Pediatrician License,"Diagnostic tools, EHR, vaccines","Child Health Assessment, Vaccination Record","Pediatric Intern, Resident","Pediatrician, Clinic Director","Hospitals, Clinics, NGOs","AAP Resources, Coursera Pediatrics",Medical Degree + Pediatrics Specialization --> Internship --> Pediatrician --> Senior Pediatrician --> Consultant,Healthcare
Personal Assistant (Supports individuals with daily tasks and scheduling),"personal, assistant, organization, communication, scheduling, management, support, office, multitasking, business, administration, coordination, travel, planning, time management","Organization, scheduling, communication",Diploma / Certificate in Administration,Project Management Certification,"Calendar apps, office software, communication tools","Schedule Plan, Meeting Coordination","Assistant, Personal Secretary","Personal Assistant, Executive Assistant","Corporates, SMEs, Celebrities","PMI Resources, Coursera Office Management",Diploma/Office Training --> Assistant --> Personal Assistant --> Senior Assistant --> Executive Assistant,Administrative Support
Personal Trainer (Helps clients improve fitness and health),"personal, trainer, fitness, health, exercise, anatomy, physiology, wellness, coaching, nutrition, physical education, training, motivation, lifestyle, sports","Fitness training, anatomy, client motivation",Certified Personal Trainer (CPT),"ACE, NASM Certification","Fitness equipment, workout apps","Workout Plan, Client Progress Tracker","Trainer Assistant, Junior Trainer","Personal Trainer, Gym Manager","Anytime Fitness, Gold? Gym, Cult","Fitness Certifications, YouTube Workouts",Certification/Training --> Practice --> Personal Trainer --> Senior Trainer --> Manager,Sports & Fitness
Pest Control Technician (Removes pests from buildings and homes),"pest, control, technician, insects, bugs, chemicals, biology, environment, safety, removal, home, hygiene, treatment, pest management, extermination","Pest identification, chemical handling, safety",Vocational Training / Pest Control License,State Pesticide Applicator License,"Pest control chemicals, safety gear","Treatment Plan, Safety Report","Pest Control Technician Trainee, Assistant","Senior Technician, Supervisor","Pest Control Firms, Facilities Management","NPMA Resources, OSHA Pesticide Safety",Certification/Pest Control Training --> Apprenticeship --> Technician --> Senior Technician --> Manager,Pest Control
Pet Groomer (Bathes and styles animals),"pet, groomer, animals, care, hygiene, styling, pets, health, communication, grooming, safety, customer service, beauty, handling, training","Animal care, grooming techniques, client service",Vocational Training / Certification,Pet Groomer License,"Grooming tools, clippers, cleaning supplies","Grooming Checklist, Pet Care Guide","Assistant Groomer, Trainee","Senior Groomer, Salon Owner","Salons, Veterinary Clinics, Pet Stores","IPG Resources, YouTube Grooming Tutorials",Certification/Pet Grooming --> Apprenticeship --> Groomer --> Senior Groomer --> Salon Owner,Animal Care
Pharmacist (Prepares and dispenses medications),"pharmacist, medicine, pharmacy, health, biology, chemistry, drugs, prescriptions, healthcare, patient care, medication, science, safety, clinical, treatment","Pharmacology, dispensing, patient counseling",Pharmacy Degree (B.Pharm / Pharm.D),Registered Pharmacist License,"Pharmacy software, drug databases","Prescription Review, Medication Counseling","Pharmacy Assistant, Intern","Pharmacist, Pharmacy Manager","Hospitals, Retail Pharmacies, Pharma Companies","PharmD Resources, Coursera Pharmacy",Pharmacy Degree --> Internship --> Pharmacist --> Senior Pharmacist --> Manager,Healthcare
Pharmacy Technician (Assists pharmacists in preparing medicines),"pharmacy, technician, medicine, pharmacy, healthcare, chemistry, prescriptions, drugs, patient care, health science, safety, inventory, communication, clinical, support","Medication dispensing, record keeping, safety",Diploma / Certificate Pharmacy Technician,Pharmacy Technician Certification,"Dispensing software, labeling tools","Medication Prep Log, Patient Records","Pharmacy Technician Trainee, Assistant","Senior Technician, Supervisor","Hospitals, Pharmacies, Clinics","PTEC Resources, Coursera Pharmacy Tech",Diploma/Pharmacy Technician Certification --> Internship --> Technician --> Senior Technician --> Supervisor,Healthcare
Philanthropy Officer (Raises funds and manages charitable giving),"philanthropy, fundraising, nonprofit, communication, management, charity, community, events, marketing, leadership, organization, social work, grant writing, advocacy, planning","Fundraising, donor relations, communication",Bachelor? / Master? Nonprofit Management,Philanthropy Certification,"CRM tools, fundraising platforms","Donation Campaign, Event Plan","Development Assistant, Fundraiser","Senior Officer, Director","NGOs, Foundations, Charities","AFP Resources, Coursera Fundraising",BA/Master? in Nonprofit Management --> Internship --> Officer --> Senior Officer --> Director,Nonprofit & Community
Philosopher (Studies ideas about life and existence),"philosophy, thinking, logic, ethics, reasoning, debate, writing, critical thinking, humanities, education, communication, social science, history, research, analysis","Critical thinking, ethics, writing",Philosophy Degree (BA / MA),Teaching Certification (optional),"Research databases, writing tools","Philosophical Essay, Discussion Guide","Research Assistant, Teaching Assistant","Senior Lecturer, Author","Universities, Think Tanks, Publishing","Harvard Philosophy Resources, Open Yale Courses",BA/Philosophy --> Graduate Studies --> Researcher --> Senior Researcher --> Professor,Education
Photo Editor (Improves and edits photographs),"photo, editor, photography, editing, media, digital, software, creativity, color, image, retouching, design, arts, communication, publishing","Photo editing, color correction, software skills",Diploma / Certificate in Photography,Adobe Certified Expert,"Adobe Photoshop, Lightroom, Capture One","Photo Retouch Project, Portfolio Editor Assistant, Junior Editor","Senior Editor, Studio Manager","Studios, Media Houses, Freelance","Adobe Tutorials, Phlearn",,Diploma/Photo Editing Software Training --> Internship --> Photo Editor --> Senior Editor --> Manager,Media & Broadcasting
Photographer (Takes professional photos),"photographer, photography, camera, visual arts, creativity, composition, lighting, media, digital, events, portrait, nature, studio, arts, editing","Photography, composition, lighting, editing",Bachelor? / Diploma in Photography,Photography Certification,"Cameras, lighting, editing software","Photo Shoot, Portfolio","Photography Assistant, Junior Photographer","Senior Photographer, Studio Owner","Studios, Media, Advertising Agencies","NPPA Resources, YouTube Photography Tutorials",Diploma/Photography Course --> Internship --> Photographer --> Senior Photographer --> Studio Owner,Arts & Design
Physical Therapist (Helps patients recover movement and strength),"physical, therapist, rehabilitation, therapy, anatomy, biology, health science, patient care, exercise, treatment, wellness, clinical, communication, injury, physiology","Rehabilitation, anatomy, therapy techniques",Master? in Physical Therapy,PT License,"Therapy equipment, EHR software","Treatment Plan, Progress Report","PT Assistant, Therapy Aide","Senior PT, Clinic Manager","Hospitals, Clinics, Sports Centers","APTA Resources, Coursera Physical Therapy",Bachelor? + Physical Therapy Program --> Clinical Internship --> Therapist --> Senior Therapist --> Clinic Manager,Healthcare
Physician Assistant (Provides medical care under a doctor? supervision),"physician, assistant, medicine, health, diagnosis, patient care, clinical, anatomy, biology, treatment, healthcare, medical, communication, emergency, nursing","Clinical support, diagnostics, patient care",Master? Physician Assistant Program,PA Certification,"Diagnostic tools, EHR systems","Patient Assessment, Case Study","PA Intern, Medical Assistant","Senior PA, Clinic Supervisor","Hospitals, Clinics, Healthcare Providers","AAPA Resources, Coursera PA Training",Bachelor? + PA Program --> Clinical Internship --> Physician Assistant --> Senior PA --> Supervisor,Healthcare
